timestamp,lidar_mm,theta,packet_count,late_wakeup_count,skipped_cycle_count
21:55:52.110349.0,276,-1.7940013408660889,200,1,154
21:55:52.110349.1,271,-1.7940013408660889,200,1,154
21:55:52.110349.2,283,-1.7940013408660889,200,1,154
21:55:52.110349.3,288,-1.7940013408660889,200,1,154
21:55:52.110349.4,275,-1.7940013408660889,200,1,154
21:55:52.110349.5,282,-1.7940013408660889,200,1,154
21:55:52.110349.6,289,-1.7940013408660889,200,1,154
21:55:52.110349.7,288,-1.7940013408660889,200,1,154
21:55:52.110349.8,284,-1.7940013408660889,200,1,154
21:55:52.110349.9,288,-1.7940013408660889,200,1,154
21:55:52.110349.10,265,-1.7940013408660889,200,1,154
21:55:52.110349.11,266,-1.7940013408660889,200,1,154
21:55:52.110349.12,285,-1.7940013408660889,200,1,154
21:55:52.110349.13,266,-1.7940013408660889,200,1,154
21:55:52.110349.14,292,-1.7940013408660889,200,1,154
21:55:52.110349.15,271,-1.7940013408660889,200,1,154
21:55:52.153626.0,281,1.0666933059692383,201,1,154
21:55:52.153626.1,282,1.0666933059692383,201,1,154
21:55:52.153626.2,282,1.0666933059692383,201,1,154
21:55:52.153626.3,284,1.0666933059692383,201,1,154
21:55:52.153626.4,273,1.0666933059692383,201,1,154
21:55:52.153626.5,296,1.0666933059692383,201,1,154
21:55:52.153626.6,296,1.0666933059692383,201,1,154
21:55:52.153626.7,283,1.0666933059692383,201,1,154
21:55:52.153626.8,286,1.0666933059692383,201,1,154
21:55:52.153626.9,285,1.0666933059692383,201,1,154
21:55:52.153626.10,284,1.0666933059692383,201,1,154
21:55:52.153626.11,288,1.0666933059692383,201,1,154
21:55:52.153626.12,253,1.0666933059692383,201,1,154
21:55:52.153626.13,276,1.0666933059692383,201,1,154
21:55:52.153626.14,282,1.0666933059692383,201,1,154
21:55:52.153626.15,270,1.0666933059692383,201,1,154
21:55:52.202120.0,287,-2.2297849655151367,202,1,154
21:55:52.202120.1,284,-2.2297849655151367,202,1,154
21:55:52.202120.2,288,-2.2297849655151367,202,1,154
21:55:52.202120.3,271,-2.2297849655151367,202,1,154
21:55:52.202120.4,269,-2.2297849655151367,202,1,154
21:55:52.202120.5,264,-2.2297849655151367,202,1,154
21:55:52.202120.6,285,-2.2297849655151367,202,1,154
21:55:52.202120.7,266,-2.2297849655151367,202,1,154
21:55:52.202120.8,294,-2.2297849655151367,202,1,154
21:55:52.202120.9,269,-2.2297849655151367,202,1,154
21:55:52.202120.10,270,-2.2297849655151367,202,1,154
21:55:52.202120.11,286,-2.2297849655151367,202,1,154
21:55:52.202120.12,271,-2.2297849655151367,202,1,154
21:55:52.202120.13,279,-2.2297849655151367,202,1,154
21:55:52.202120.14,290,-2.2297849655151367,202,1,154
21:55:52.202120.15,269,-2.2297849655151367,202,1,154
21:55:52.248625.0,270,1.0667593479156494,203,1,154
21:55:52.248625.1,289,1.0667593479156494,203,1,154
21:55:52.248625.2,279,1.0667593479156494,203,1,154
21:55:52.248625.3,65535,1.0667593479156494,203,1,154
21:55:52.248625.4,284,1.0667593479156494,203,1,154
21:55:52.248625.5,279,1.0667593479156494,203,1,154
21:55:52.248625.6,285,1.0667593479156494,203,1,154
