timestamp,lidar_mm,theta,packet_count,late_wakeup_count,skipped_cycle_count
21:56:52.691833.0,273,-3.625638961791992,131,1,154
21:56:52.691833.1,287,-3.625638961791992,131,1,154
21:56:52.691833.2,270,-3.625638961791992,131,1,154
21:56:52.691833.3,279,-3.625638961791992,131,1,154
21:56:52.691833.4,292,-3.625638961791992,131,1,154
21:56:52.691833.5,284,-3.625638961791992,131,1,154
21:56:52.691833.6,282,-3.625638961791992,131,1,154
21:56:52.691833.7,276,-3.625638961791992,131,1,154
21:56:52.691833.8,284,-3.625638961791992,131,1,154
21:56:52.691833.9,271,-3.625638961791992,131,1,154
21:56:52.691833.10,293,-3.625638961791992,131,1,154
21:56:52.691833.11,271,-3.625638961791992,131,1,154
21:56:52.691833.12,265,-3.625638961791992,131,1,154
21:56:52.691833.13,274,-3.625638961791992,131,1,154
21:56:52.691833.14,282,-3.625638961791992,131,1,154
21:56:52.691833.15,271,-3.625638961791992,131,1,154
21:56:52.736667.0,266,-0.3970678150653839,132,1,154
21:56:52.736667.1,278,-0.3970678150653839,132,1,154
21:56:52.736667.2,269,-0.3970678150653839,132,1,154
21:56:52.736667.3,289,-0.3970678150653839,132,1,154
21:56:52.736667.4,285,-0.3970678150653839,132,1,154
21:56:52.736667.5,297,-0.3970678150653839,132,1,154
21:56:52.736667.6,281,-0.3970678150653839,132,1,154
21:56:52.736667.7,289,-0.3970678150653839,132,1,154
21:56:52.736667.8,281,-0.3970678150653839,132,1,154
21:56:52.736667.9,274,-0.3970678150653839,132,1,154
21:56:52.736667.10,270,-0.3970678150653839,132,1,154
21:56:52.736667.11,282,-0.3970678150653839,132,1,154
21:56:52.736667.12,292,-0.3970678150653839,132,1,154
21:56:52.736667.13,295,-0.3970678150653839,132,1,154
21:56:52.736667.14,282,-0.3970678150653839,132,1,154
21:56:52.736667.15,279,-0.3970678150653839,132,1,154
21:56:52.840545.0,273,-5.815385341644287,134,1,154
21:56:52.840545.1,285,-5.815385341644287,134,1,154
21:56:52.840545.2,274,-5.815385341644287,134,1,154
21:56:52.840545.3,289,-5.815385341644287,134,1,154
21:56:52.840545.4,285,-5.815385341644287,134,1,154
21:56:52.840545.5,290,-5.815385341644287,134,1,154
21:56:52.840545.6,283,-5.815385341644287,134,1,154
21:56:52.840545.7,275,-5.815385341644287,134,1,154
21:56:52.840545.8,264,-5.815385341644287,134,1,154
21:56:52.840545.9,289,-5.815385341644287,134,1,154
21:56:52.840545.10,281,-5.815385341644287,134,1,154
21:56:52.840545.11,295,-5.815385341644287,134,1,154
21:56:52.840545.12,294,-5.815385341644287,134,1,154
21:56:52.840545.13,288,-5.815385341644287,134,1,154
21:56:52.840545.14,287,-5.815385341644287,134,1,154
21:56:52.840545.15,303,-5.815385341644287,134,1,154
21:56:53.039613.0,294,-5.345426082611084,138,1,154
21:56:53.039613.1,266,-5.345426082611084,138,1,154
21:56:53.039613.2,286,-5.345426082611084,138,1,154
